,result,place_lat,place_lng,courier_lng,courier_lat,distance_place_to_dropoff,courier_vehicle,job_status,time_local
9761,accepted,37.800766,-122.436702,-122.430708,37.773697,0.605943092,bicycle,dropoff_complete,Sunday 11:47:22
13054,ignored,37.800766,-122.436702,-122.433051,37.761007,4.638899713,car,dropoff_complete,Tuesday 19:11:43
17312,accepted,37.800766,-122.436702,-122.434363,37.789061,0.396560018,bicycle,dropoff_complete,Tuesday 20:26:58
18625,ignored,37.800766,-122.436702,-122.410271,37.801274,0.421844116,bicycle,dropoff_complete,Wednesday 11:29:53
22143,ignored,37.800766,-122.436702,-122.421761,37.790422,2.080343485,car,dropoff_complete,Friday 20:04:07
52964,ignored,37.800766,-122.436702,-122.437723,37.800497,1.949911771,bicycle,dropoff_complete,Friday 19:59:54
56880,ignored,37.800766,-122.436702,-122.453458,37.786448,1.754040918,car,dropoff_complete,Sunday 18:52:54
62446,rejected,37.800766,-122.436702,-122.414911,37.779838,4.048104804,bicycle,dropoff_complete,Saturday 19:49:10
62890,accepted,37.800766,-122.436702,-122.435691,37.797589,0.995968494,car,dropoff_complete,Thursday 21:07:43
70891,ignored,37.800766,-122.436702,-122.445925,37.796798,4.632338903,bicycle,dropoff_complete,Saturday 17:39:16
18863,ignored,37.800762,-122.438777,-122.4401,37.800296,0.585051166,van,dropoff_complete,Saturday 13:08:36
18867,ignored,37.800762,-122.438777,-122.434854,37.785929,0.585051166,bicycle,dropoff_complete,Saturday 13:07:07
22770,ignored,37.800762,-122.438777,-122.434145,37.80133,2.264770506,bicycle,dropoff_complete,Saturday 17:16:29
1256,ignored,37.800691,-122.43679,-122.410046,37.759663,1.161860929,car,dropoff_complete,Monday 19:56:23
1468,accepted,37.800691,-122.43679,-122.434126,37.800264,1.221303378,car,dropoff_complete,Tuesday 17:58:30
14038,ignored,37.800691,-122.43679,-122.434025,37.787001,0.859974964,bicycle,dropoff_complete,Friday 19:27:32
14051,rejected,37.800691,-122.43679,-122.413066,37.806361,0.610571353,car,dropoff_complete,Saturday 22:03:20
14052,rejected,37.800691,-122.43679,-122.435282,37.797244,0.610571353,bicycle,dropoff_complete,Saturday 22:02:57
31999,ignored,37.800691,-122.43679,-122.441207,37.785128,0.980712161,bicycle,dropoff_complete,Wednesday 18:53:19
35035,rejected,37.800691,-122.43679,-122.422677,37.77214,2.857886937,bicycle,dispatch_failed,Friday 17:12:05
38486,accepted,37.800691,-122.43679,-122.423601,37.805279,0.993077281,bicycle,dropoff_complete,Saturday 19:55:36
39588,rejected,37.800691,-122.43679,-122.415703,37.799603,0.900824991,van,dispatch_failed,Thursday 19:39:24
59914,rejected,37.800691,-122.43679,-122.432927,37.804769,0.900824991,car,dropoff_complete,Sunday 19:02:15
59915,ignored,37.800691,-122.43679,-122.437491,37.800655,0.900824991,car,dropoff_complete,Sunday 19:01:51
61083,rejected,37.800691,-122.43679,-122.431144,37.77426,2.266484841,bicycle,dropoff_complete,Saturday 15:50:27
64203,ignored,37.800691,-122.43679,-122.42924,37.795276,1.307670726,bicycle,dropoff_complete,Tuesday 18:44:25
64920,accepted,37.800691,-122.43679,-122.432436,37.789085,1.017521958,bicycle,dropoff_complete,Saturday 19:57:38
64924,rejected,37.800691,-122.43679,-122.434605,37.793298,1.017521958,bicycle,dropoff_complete,Saturday 19:56:03
24877,accepted,37.800662,-122.408054,-122.409584,37.800411,1.552299981,car,dropoff_complete,Friday 19:04:20
52198,rejected,37.800662,-122.408054,-122.414524,37.794001,0.792603481,car,dropoff_complete,Monday 18:41:14
52429,ignored,37.800662,-122.408054,-122.434317,37.788934,1.552299981,bicycle,dispatch_failed,Friday 20:16:14
52433,ignored,37.800662,-122.408054,-122.422164,37.766627,1.552299981,bicycle,dispatch_failed,Friday 20:14:45
66220,rejected,37.800662,-122.408054,-122.402985,37.785341,1.562686398,bicycle,dropoff_complete,Tuesday 19:19:33
66221,rejected,37.800662,-122.408054,-122.408975,37.807245,1.562686398,bicycle,dropoff_complete,Tuesday 19:19:10
35969,rejected,37.80064,-122.43834,-122.440063,37.786468,0.540774924,car,dropoff_complete,Monday 11:19:55
37830,ignored,37.80064,-122.43834,-122.424643,37.792663,0.695639197,bicycle,dropoff_complete,Sunday 11:48:04
37832,ignored,37.80064,-122.43834,-122.431925,37.798501,0.695639197,car,dropoff_complete,Sunday 11:47:19
43138,ignored,37.80064,-122.43834,-122.41981,37.785579,1.216380444,bicycle,dropoff_complete,Saturday 12:47:37
31845,accepted,37.800623,-122.438659,-122.43624,37.801024,3.659337885,motorcycle,dropoff_complete,Friday 18:20:43
38504,ignored,37.800623,-122.438659,-122.424359,37.761622,0.471966126,bicycle,dispatch_failed,Friday 19:30:35
46436,rejected,37.800623,-122.438659,-122.435003,37.799042,1.099284371,bicycle,dropoff_complete,Wednesday 18:27:11
51747,rejected,37.800623,-122.438659,-122.41588,37.788194,0.943657235,bicycle,dropoff_complete,Tuesday 19:48:05
52087,accepted,37.800623,-122.438659,-122.436914,37.796003,0.672517111,bicycle,dropoff_complete,Thursday 18:45:17
67426,accepted,37.800623,-122.438659,-122.436618,37.802249,1.009639315,car,dropoff_complete,Wednesday 16:57:30
51172,ignored,37.80060401,-122.4377524,-122.430875,37.774236,0.642979233,bicycle,dropoff_complete,Sunday  8:04:35
7980,rejected,37.800603,-122.438333,-122.421942,37.765379,1.935384378,bicycle,dropoff_complete,Thursday 12:51:53
55439,accepted,37.800603,-122.438333,-122.404991,37.795649,1.098488646,van,dropoff_complete,Sunday 17:39:40
55443,rejected,37.800603,-122.438333,-122.437933,37.774476,1.098488646,bicycle,dropoff_complete,Sunday 17:38:07
55444,ignored,37.800603,-122.438333,-122.408699,37.786482,1.098488646,bicycle,dropoff_complete,Sunday 17:37:44
55445,rejected,37.800603,-122.438333,-122.417617,37.795556,1.098488646,motorcycle,dropoff_complete,Sunday 17:37:21
15539,accepted,37.8006017,-122.4372367,-122.439381,37.800503,4.323052919,bicycle,dropoff_complete,Friday 16:23:15
35505,accepted,37.800576,-122.43835,-122.437555,37.799434,2.767328012,bicycle,dropoff_complete,Monday 15:27:48
39326,rejected,37.800576,-122.43835,-122.436623,37.800772,1.96909505,bicycle,dropoff_complete,Friday 18:28:08
15877,accepted,37.80057,-122.438936,-122.403933,37.798549,0.58862243,bicycle,dropoff_complete,Sunday  8:02:14
2390,accepted,37.800564,-122.438086,-122.435144,37.785798,3.19894358,car,dropoff_complete,Wednesday 17:55:14
2902,ignored,37.800564,-122.438086,-122.43419,37.790458,0.472145379,bicycle,dropoff_complete,Sunday 19:08:36
5092,ignored,37.800564,-122.438086,-122.410126,37.782235,1.436672566,bicycle,dropoff_complete,Friday 18:48:26
9968,ignored,37.800564,-122.438086,-122.409264,37.800048,0.759376301,bicycle,dropoff_complete,Thursday 19:31:30
13510,accepted,37.800564,-122.438086,-122.417764,37.783111,0.65307697,van,dropoff_complete,Saturday 13:37:52
18849,ignored,37.800564,-122.438086,-122.437946,37.80043,2.810801531,bicycle,dropoff_complete,Sunday 18:52:08
19887,ignored,37.800564,-122.438086,-122.428758,37.767468,0.397308974,bicycle,dropoff_complete,Monday 12:24:28
19891,ignored,37.800564,-122.438086,-122.403688,37.784519,0.397308974,bicycle,dropoff_complete,Monday 12:22:56
20147,ignored,37.800564,-122.438086,-122.433673,37.787642,4.354902433,bicycle,dropoff_complete,Tuesday 17:32:56
21005,ignored,37.800564,-122.438086,-122.430888,37.774185,0.596700731,bicycle,dropoff_complete,Thursday 17:47:29
21006,accepted,37.800564,-122.438086,-122.462767,37.782883,0.596700731,car,dropoff_complete,Thursday 17:47:06
21334,ignored,37.800564,-122.438086,-122.399712,37.775417,1.113665694,bicycle,dispatch_failed,Friday 13:15:45
21338,rejected,37.800564,-122.438086,-122.400022,37.781185,1.113665694,bicycle,dispatch_failed,Friday 13:14:14
22514,ignored,37.800564,-122.438086,-122.397615,37.787348,3.275271475,bicycle,dropoff_complete,Thursday 11:54:22
24415,rejected,37.800564,-122.438086,-122.421351,37.787758,1.113665694,bicycle,dropoff_complete,Friday 13:29:51
25403,ignored,37.800564,-122.438086,-122.435152,37.788739,1.454457769,car,dropoff_complete,Thursday 17:33:39
25892,rejected,37.800564,-122.438086,-122.437243,37.800566,1.866283417,bicycle,dropoff_complete,Wednesday 12:11:46
27644,ignored,37.800564,-122.438086,-122.433946,37.789674,1.282621501,bicycle,dropoff_complete,Saturday 11:21:35
27648,rejected,37.800564,-122.438086,-122.452916,37.781517,1.282621501,car,dropoff_complete,Saturday 11:20:05
27650,ignored,37.800564,-122.438086,-122.434116,37.789885,1.282621501,bicycle,dropoff_complete,Saturday 11:19:20
29907,ignored,37.800564,-122.438086,-122.438484,37.776799,0.759376301,bicycle,dropoff_complete,Friday 19:27:47
31438,accepted,37.800564,-122.438086,-122.431495,37.785544,0.664237942,car,dropoff_complete,Sunday 18:45:04
34265,rejected,37.800564,-122.438086,-122.435528,37.797036,2.800711324,bicycle,dropoff_complete,Wednesday 19:14:42
38145,ignored,37.800564,-122.438086,-122.401098,37.78555,1.113665694,bicycle,dispatch_failed,Friday 13:03:16
38150,rejected,37.800564,-122.438086,-122.430931,37.774369,1.113665694,bicycle,dispatch_failed,Friday 13:01:24
39607,rejected,37.800564,-122.438086,-122.41872,37.780806,0.245907691,bicycle,dropoff_complete,Thursday 14:03:21
44011,accepted,37.800564,-122.438086,-122.439821,37.784969,0.350840498,motorcycle,dropoff_complete,Friday 19:23:06
45912,accepted,37.800564,-122.438086,-122.42732,37.781577,1.057153789,car,dropoff_complete,Tuesday 11:23:44
47593,ignored,37.800564,-122.438086,-122.448887,37.801297,1.057153789,car,dropoff_complete,Tuesday 18:18:16
50864,rejected,37.800564,-122.438086,-122.405417,37.785399,0.596700731,bicycle,dropoff_complete,Wednesday 19:28:06
50866,rejected,37.800564,-122.438086,-122.423825,37.802418,0.596700731,car,dropoff_complete,Wednesday 19:27:16
51412,ignored,37.800564,-122.438086,-122.438212,37.800591,1.113665694,bicycle,dispatch_failed,Friday 13:06:22
55811,accepted,37.800564,-122.438086,-122.438537,37.784431,1.094774374,bicycle,dropoff_complete,Wednesday 11:39:59
58321,ignored,37.800564,-122.438086,-122.413774,37.805527,0.568839589,bicycle,dropoff_complete,Thursday 19:23:32
59910,rejected,37.800564,-122.438086,-122.407604,37.787557,0.555278314,bicycle,dropoff_complete,Tuesday 19:30:55
59911,rejected,37.800564,-122.438086,-122.440674,37.788731,0.555278314,bicycle,dropoff_complete,Tuesday 19:30:31
65528,rejected,37.800564,-122.438086,-122.40002,37.793965,1.057169819,bicycle,dropoff_complete,Thursday 12:01:19
65530,ignored,37.800564,-122.438086,-122.429867,37.776782,1.057169819,bicycle,dropoff_complete,Thursday 12:00:22
66299,accepted,37.800564,-122.438086,-122.437876,37.801036,2.231189275,bicycle,dropoff_complete,Tuesday 17:38:10
69734,rejected,37.800564,-122.438086,-122.399182,37.793344,1.057169819,bicycle,dropoff_complete,Wednesday 12:14:56
27342,accepted,37.800449,-122.437562,-122.393585,37.780638,2.996833835,car,dropoff_complete,Sunday 11:44:41
1212,ignored,37.800442,-122.437808,-122.431294,37.761112,0.493273991,car,dropoff_complete,Wednesday 19:10:18
61958,rejected,37.800442,-122.437808,-122.437806,37.800435,0.811285568,car,dropoff_complete,Saturday 13:55:18
17334,accepted,37.800417,-122.437692,-122.44316,37.801448,1.811171729,bicycle,dropoff_complete,Friday 18:21:04
24644,ignored,37.800417,-122.437692,-122.467358,37.764833,1.260235934,bicycle,dropoff_complete,Saturday 15:01:11
24648,ignored,37.800417,-122.437692,-122.438051,37.800465,1.260235934,bicycle,dropoff_complete,Saturday 14:59:29
25152,rejected,37.800417,-122.437692,-122.437171,37.772059,2.774630361,car,dropoff_complete,Sunday 15:39:31
27048,ignored,37.800417,-122.437692,-122.424353,37.761532,1.658674972,car,dropoff_complete,Saturday 13:12:09
27309,ignored,37.800417,-122.437692,-122.433772,37.772614,1.940509862,car,dropoff_complete,Friday 18:58:56
27310,ignored,37.800417,-122.437692,-122.439888,37.784971,1.940509862,car,dropoff_complete,Friday 18:58:33
35544,ignored,37.800417,-122.437692,-122.435843,37.800194,3.801957945,van,dropoff_complete,Sunday 19:56:23
41585,rejected,37.800417,-122.437692,-122.418718,37.76549,1.396743414,bicycle,dropoff_complete,Friday 14:53:29
41587,ignored,37.800417,-122.437692,-122.403062,37.784327,1.396743414,bicycle,dropoff_complete,Friday 14:52:44
41591,ignored,37.800417,-122.437692,-122.416665,37.784462,1.396743414,bicycle,dropoff_complete,Friday 14:51:13
43120,ignored,37.800417,-122.437692,-122.414803,37.781899,1.420040838,bicycle,dispatch_failed,Friday 12:50:17
43127,rejected,37.800417,-122.437692,-122.430913,37.774295,1.420040838,bicycle,dispatch_failed,Friday 12:47:38
50653,rejected,37.800417,-122.437692,-122.463752,37.782304,0.403019439,car,dropoff_complete,Wednesday 10:46:10
50656,rejected,37.800417,-122.437692,-122.400584,37.78771,0.403019439,bicycle,dropoff_complete,Wednesday 10:45:02
52147,ignored,37.800417,-122.437692,-122.422439,37.774117,6.43426288,car,dropoff_complete,Monday 14:49:28
56575,rejected,37.800417,-122.437692,-122.39159,37.787983,1.658674972,bicycle,dropoff_complete,Saturday 18:52:59
56576,ignored,37.800417,-122.437692,-122.435518,37.79735,1.658674972,car,dropoff_complete,Saturday 18:52:35
56577,ignored,37.800417,-122.437692,-122.417057,37.775745,1.658674972,bicycle,dropoff_complete,Saturday 18:52:12
60280,ignored,37.800417,-122.437692,-122.424417,37.766618,1.420040838,bicycle,dispatch_failed,Friday 12:52:58
60284,ignored,37.800417,-122.437692,-122.41565,37.768866,1.420040838,car,dispatch_failed,Friday 12:51:26
63751,ignored,37.800417,-122.437692,-122.433987,37.79008,0.837857754,car,dropoff_complete,Wednesday 19:00:40
63754,rejected,37.800417,-122.437692,-122.43974,37.800316,0.837857754,bicycle,dropoff_complete,Wednesday 18:59:29
65915,ignored,37.800417,-122.437692,-122.439644,37.800457,0.890374081,bicycle,dropoff_complete,Monday 10:56:32
68105,accepted,37.800417,-122.437692,-122.437831,37.800244,4.000992491,car,dropoff_complete,Friday 12:46:38
12873,accepted,37.800409,-122.438352,-122.429228,37.801711,0.524392949,bicycle,dropoff_complete,Monday 14:50:47
7951,ignored,37.800407,-122.409165,-122.390616,37.78312,6.045146329,bicycle,dropoff_complete,Thursday 17:57:16
11669,ignored,37.800407,-122.409165,-122.405157,37.796547,0.43063395,car,dropoff_complete,Wednesday 19:40:39
15165,ignored,37.800407,-122.409165,-122.433604,37.764008,1.079246234,bicycle,dropoff_complete,Sunday 17:57:14
22789,rejected,37.800407,-122.409165,-122.423584,37.799528,1.586646352,bicycle,dropoff_complete,Sunday 18:31:38
26698,ignored,37.800407,-122.409165,-122.399078,37.781263,2.20120149,car,dispatch_failed,Friday 19:10:58
31023,ignored,37.800407,-122.409165,-122.41652,37.788241,2.130575088,bicycle,dropoff_complete,Thursday 19:48:37
31570,ignored,37.800407,-122.409165,-122.421162,37.79297,0.43063395,bicycle,dropoff_complete,Wednesday 20:13:43
36621,ignored,37.800407,-122.409165,-122.440749,37.799211,1.291160939,car,dropoff_complete,Sunday 13:27:06
37477,ignored,37.800407,-122.409165,-122.401823,37.804137,1.393815094,bicycle,dropoff_complete,Friday 17:28:25
42776,rejected,37.800407,-122.409165,-122.430891,37.774272,2.20120149,bicycle,dispatch_failed,Friday 19:14:11
42778,rejected,37.800407,-122.409165,-122.418207,37.794635,2.20120149,truck,dispatch_failed,Friday 19:13:22
44747,rejected,37.800407,-122.409165,-122.437889,37.80025,2.808212535,bicycle,dropoff_complete,Friday 18:52:49
46576,accepted,37.800407,-122.409165,-122.434304,37.788897,2.605669605,car,dropoff_complete,Wednesday 21:32:14
47527,accepted,37.800407,-122.409165,-122.438689,37.760676,2.461279782,van,dropoff_complete,Thursday 19:04:34
47528,rejected,37.800407,-122.409165,-122.412041,37.785073,2.461279782,bicycle,dropoff_complete,Thursday 19:04:08
47531,rejected,37.800407,-122.409165,-122.395466,37.796432,2.461279782,bicycle,dropoff_complete,Thursday 19:02:31
53294,ignored,37.800407,-122.409165,-122.420788,37.775593,2.674872186,bicycle,dropoff_complete,Wednesday 21:34:31
63542,rejected,37.800407,-122.409165,-122.421851,37.806414,1.857100111,bicycle,dropoff_complete,Sunday 17:02:14
64455,ignored,37.800407,-122.409165,-122.403701,37.785277,4.424100604,bicycle,dropoff_complete,Friday 20:02:51
64456,rejected,37.800407,-122.409165,-122.434536,37.800108,4.424100604,car,dropoff_complete,Friday 20:02:28
64459,ignored,37.800407,-122.409165,-122.439912,37.800322,4.424100604,bicycle,dropoff_complete,Friday 20:01:15
65846,rejected,37.800407,-122.409165,-122.414479,37.803116,0.775542338,bicycle,dropoff_complete,Sunday 18:04:50
66915,ignored,37.800407,-122.409165,-122.432908,37.78529,1.064334625,bicycle,dropoff_complete,Thursday 20:21:18
66919,rejected,37.800407,-122.409165,-122.403272,37.792996,1.064334625,car,dropoff_complete,Thursday 20:19:46
67923,rejected,37.800407,-122.409165,-122.42223,37.790406,0.733602794,bicycle,dropoff_complete,Wednesday 20:08:57
67924,rejected,37.800407,-122.409165,-122.427213,37.749275,0.733602794,bicycle,dropoff_complete,Wednesday 20:08:34
59665,ignored,37.800369,-122.410382,-122.418309,37.799469,0.41244194,bicycle,dropoff_complete,Monday 18:27:52
66509,ignored,37.80036,-122.437869,-122.436138,37.800023,2.247804722,bicycle,dropoff_complete,Saturday 19:44:18
35775,ignored,37.800357,-122.439715,-122.405298,37.78949,0.474232496,bicycle,dropoff_complete,Tuesday 11:57:10
46510,accepted,37.800357,-122.439715,-122.435176,37.803833,1.197209724,car,dropoff_complete,Sunday 17:39:26
49034,accepted,37.800357,-122.439715,-122.432655,37.80474,0.589180441,bicycle,dropoff_complete,Thursday 21:26:08
67864,accepted,37.800357,-122.439715,-122.402636,37.786877,1.137143926,car,dropoff_complete,Thursday 18:58:09
8400,rejected,37.800356,-122.439124,-122.424475,37.776642,0.724163237,bicycle,dropoff_complete,Thursday 22:31:16
12575,ignored,37.800356,-122.439124,-122.407009,37.783269,1.368943259,car,dropoff_complete,Friday 18:42:14
19398,accepted,37.800356,-122.439124,-122.441162,37.790708,1.485165778,van,dropoff_complete,Thursday 20:54:48
37298,rejected,37.800356,-122.439124,-122.391507,37.787808,3.485436979,car,dropoff_complete,Tuesday 22:30:46
45013,accepted,37.800356,-122.439124,-122.436692,37.800684,0.525247074,bicycle,dropoff_complete,Friday 18:27:21
52082,accepted,37.800356,-122.439124,-122.439056,37.800356,1.673798976,car,dropoff_complete,Sunday 21:30:01
57457,rejected,37.800356,-122.439124,-122.421914,37.796382,0.527396712,car,dropoff_complete,Saturday 13:17:33
63468,rejected,37.800356,-122.439124,-122.41211,37.788752,1.24822859,bicycle,dropoff_complete,Monday 19:11:49
66629,ignored,37.800356,-122.439124,-122.440552,37.800308,0.721843301,bicycle,dropoff_complete,Wednesday 19:24:36
66774,accepted,37.800356,-122.439124,-122.43728,37.79951,0.774236644,van,dropoff_complete,Sunday 22:22:26
18469,ignored,37.800328,-122.437664,-122.437472,37.786436,0.57322652,bicycle,dropoff_complete,Friday 12:28:01
18470,accepted,37.800328,-122.437664,-122.417021,37.805118,0.57322652,car,dropoff_complete,Friday 12:27:38
20726,ignored,37.800328,-122.437664,-122.396588,37.792424,0.57322652,bicycle,dropoff_complete,Thursday 11:09:06
37275,ignored,37.800311,-122.440678,-122.414757,37.803442,0.522303191,bicycle,dropoff_complete,Monday 13:39:37
40119,rejected,37.800311,-122.440678,-122.42185,37.773319,0.522303191,bicycle,dispatch_failed,Monday 13:37:35
40125,ignored,37.800311,-122.440678,-122.432868,37.803123,0.522303191,car,dispatch_failed,Monday 13:35:21
42714,rejected,37.800311,-122.440678,-122.44602,37.79773,0.525507886,bicycle,dispatch_failed,Sunday 12:17:13
42716,rejected,37.800311,-122.440678,-122.429972,37.77881,0.525507886,bicycle,dispatch_failed,Sunday 12:16:25
42717,rejected,37.800311,-122.440678,-122.43078,37.774211,0.525507886,bicycle,dispatch_failed,Sunday 12:16:01
55934,rejected,37.800311,-122.440678,-122.447162,37.782397,0.525507886,bicycle,dispatch_failed,Sunday 12:21:17
10344,ignored,37.800283,-122.435947,-122.434321,37.788883,2.75388189,bicycle,dispatch_failed,Friday 19:42:29
10346,ignored,37.800283,-122.435947,-122.39565,37.778872,2.75388189,bicycle,dispatch_failed,Friday 19:41:28
40382,ignored,37.800283,-122.435947,-122.435145,37.797735,0.888239299,bicycle,dropoff_complete,Saturday 19:16:11
7510,ignored,37.80026,-122.433122,-122.433027,37.800279,0.765696754,bicycle,dropoff_complete,Friday 19:25:57
29447,rejected,37.80026,-122.433122,-122.436227,37.800686,0.817617677,bicycle,dropoff_complete,Friday 18:47:05
53983,ignored,37.80026,-122.433122,-122.419674,37.78823,1.235944484,bicycle,dropoff_complete,Saturday 18:13:26
58433,ignored,37.800217,-122.441213,-122.423989,37.78995,1.356522439,bicycle,dropoff_complete,Sunday 17:29:13
13967,rejected,37.800209,-122.440143,-122.421974,37.766394,0.64006326,bicycle,dropoff_complete,Friday 19:26:17
49720,accepted,37.80019084,-122.4379128,-122.432593,37.773715,0.42331396,car,dropoff_complete,Saturday 18:17:55
60400,ignored,37.80019084,-122.4379128,-122.447911,37.770135,1.696660359,bicycle,dispatch_failed,Sunday 17:10:34
